gc.content	chrom.arm
chr1_1376204	0.548532775	chr1p
chr1_2057069	0.591989423	chr1p
chr1_2597854	0.570765054	chr1p
chr1_3228114	0.586114558	chr1p
chr1_4309056	0.4887744	chr1p
chr1_4833126	0.442708285	chr1p
chr1_5374487	0.491858381	chr1p
chr1_5904050	0.543597035	chr1p
chr1_6463205	0.484995627	chr1p
chr1_7022342	0.481143681	chr1p
chr1_7556407	0.463636783	chr1p
chr1_8119641	0.445699036	chr1p
chr1_8690700	0.474004399	chr1p
chr1_9276703	0.507118424	chr1p
chr1_9864896	0.452627879	chr1p
chr1_10479404	0.510383105	chr1p
chr1_11028758	0.488321594	chr1p
chr1_11599341	0.5199948	chr1p
chr1_12176241	0.45669881	chr1p
chr1_13882376	0.424516588	chr1p
chr1_14427614	0.467708662	chr1p
chr1_14963253	0.492641415	chr1p
chr1_15522125	0.491812324	chr1p
chr1_16120219	0.491439529	chr1p
chr1_16980630	0.500772454	chr1p
chr1_17552185	0.504705804	chr1p
chr1_18076751	0.488500081	chr1p
chr1_18599146	0.505947819	chr1p
chr1_19126230	0.473789917	chr1p
chr1_19687866	0.460768196	chr1p
chr1_20249311	0.487844762	chr1p
chr1_20799691	0.43168322	chr1p
chr1_21371571	0.499757238	chr1p
chr1_21977103	0.479733827	chr1p
chr1_22541097	0.496656188	chr1p
chr1_23080601	0.465973231	chr1p
chr1_23656577	0.472032137	chr1p
chr1_24339897	0.453404536	chr1p
chr1_24912162	0.477402936	chr1p
chr1_25553440	0.488892239	chr1p
chr1_26110663	0.483859618	chr1p
chr1_26710370	0.486506632	chr1p
chr1_27318113	0.489847642	chr1p
chr1_27901652	0.444539697	chr1p
chr1_28511727	0.457962464	chr1p
chr1_29679649	0.478452375	chr1p
chr1_30207503	0.482540277	chr1p
chr1_30752042	0.467828388	chr1p
chr1_31329461	0.489217328	chr1p
chr1_31886107	0.469810928	chr1p
chr1_32491061	0.469399149	chr1p
chr1_33096469	0.460852009	chr1p
chr1_33635361	0.453289469	chr1p
chr1_34171556	0.436694181	chr1p
chr1_34705330	0.444338709	chr1p
chr1_35285392	0.427738192	chr1p
chr1_35853915	0.462596034	chr1p
chr1_36435217	0.487193628	chr1p
chr1_36962884	0.476207593	chr1p
chr1_37499820	0.477791272	chr1p
chr1_38076932	0.451729636	chr1p
chr1_38607506	0.447706226	chr1p
chr1_39197538	0.457372383	chr1p
chr1_39788446	0.441880959	chr1p
chr1_40378528	0.454867836	chr1p
chr1_40940821	0.453200419	chr1p
chr1_41490250	0.469416004	chr1p
chr1_42018353	0.40747258	chr1p
chr1_42574145	0.448254348	chr1p
chr1_43147942	0.485475879	chr1p
chr1_43697304	0.463905675	chr1p
chr1_44245367	0.472854417	chr1p
chr1_44793633	0.436497294	chr1p
chr1_45401426	0.42505715	chr1p
chr1_46002037	0.479245565	chr1p
chr1_46576878	0.428869793	chr1p
chr1_47255338	0.465837169	chr1p
chr1_47797433	0.441380746	chr1p
chr1_48350033	0.416649295	chr1p
