	gc.content	chrom.arm
chr1_347968	0.445098328	chr1p
chr1_956656	0.625886976	chr1p
chr1_1098148	0.60129503	chr1p
chr1_1236832	0.624797766	chr1p
chr1_1376522	0.573102148	chr1p
chr1_1552023	0.553673625	chr1p
chr1_1767567	0.491836529	chr1p
chr1_1916462	0.570015145	chr1p
chr1_2057760	0.565662856	chr1p
chr1_2195867	0.59266146	chr1p
chr1_2333006	0.587842936	chr1p
chr1_2465538	0.62275831	chr1p
chr1_2842894	0.573304174	chr1p
chr1_2972301	0.559153891	chr1p
chr1_3101126	0.576040855	chr1p
chr1_3229386	0.566840978	chr1p
chr1_3359613	0.577963095	chr1p
chr1_3488161	0.622260441	chr1p
chr1_3617242	0.57587979	chr1p
chr1_3750143	0.514270884	chr1p
chr1_4032104	0.502283105	chr1p
chr1_4171826	0.449801646	chr1p
chr1_4311223	0.480535799	chr1p
chr1_4442541	0.471902557	chr1p
chr1_4573407	0.508609252	chr1p
chr1_4706810	0.492346227	chr1p
chr1_4835766	0.453324831	chr1p
chr1_4973773	0.41325489	chr1p
chr1_5110432	0.438833497	chr1p
chr1_5245228	0.466294948	chr1p
chr1_5377048	0.492386894	chr1p
chr1_5505445	0.449498505	chr1p
chr1_5637550	0.503955469	chr1p
chr1_5773185	0.521398072	chr1p
chr1_5906912	0.510929292	chr1p
chr1_6039400	0.564411164	chr1p
chr1_6172009	0.552500107	chr1p
chr1_6311723	0.547805501	chr1p
chr1_6466747	0.541610942	chr1p
chr1_6611805	0.480879112	chr1p
chr1_6758817	0.423898138	chr1p
chr1_6894451	0.486686671	chr1p
chr1_7026086	0.477904864	chr1p
chr1_7158717	0.442089839	chr1p
chr1_7293158	0.472464908	chr1p
chr1_7430510	0.537447716	chr1p
chr1_7560331	0.541247749	chr1p
chr1_7697490	0.428750405	chr1p
chr1_7833182	0.446576371	chr1p
chr1_7979737	0.437051677	chr1p
chr1_8124443	0.473651267	chr1p
chr1_8274621	0.483599682	chr1p
chr1_8414100	0.42244647	chr1p
chr1_8553134	0.399439403	chr1p
chr1_8695839	0.41860449	chr1p
chr1_8840202	0.482684571	chr1p
chr1_8994804	0.489254264	chr1p
chr1_9141746	0.510711458	chr1p
chr1_9281923	0.533606653	chr1p
chr1_9419247	0.483641499	chr1p
chr1_9573602	0.521385615	chr1p
chr1_9721926	0.492579093	chr1p
chr1_9870897	0.476587188	chr1p
chr1_10034504	0.441223204	chr1p
chr1_10185550	0.421494974	chr1p
chr1_10333566	0.46540275	chr1p
chr1_10486267	0.4427988	chr1p
chr1_10624612	0.580044977	chr1p
chr1_10753121	0.525612239	chr1p
chr1_10886729	0.500346445	chr1p
chr1_11036825	0.471090987	chr1p
chr1_11188110	0.470612141	chr1p
chr1_11333289	0.504431674	chr1p
chr1_11473191	0.512153013	chr1p
chr1_11605833	0.531442915	chr1p
chr1_11748059	0.516030534	chr1p
chr1_11887574	0.519312515	chr1p
chr1_12039781	0.515735573	chr1p
chr1_12182928	0.457215324	chr1p
chr1_12322499	0.412817366	chr1p
chr1_12459409	0.484845828	chr1p
chr1_12596311	0.461351663	chr1p
chr1_13464893	0.475236926	chr1p
chr1_13611536	0.422622935	chr1p
chr1_13753949	0.444948311	chr1p
chr1_13889567	0.430506116	chr1p
chr1_14024694	0.431516293	chr1p
chr1_14159602	0.416051352	chr1p
chr1_14294357	0.422955652	chr1p
chr1_14435489	0.43596935	chr1p
chr1_14569909	0.459087957	chr1p
chr1_14702315	0.479078588	chr1p
chr1_14835719	0.497942115	chr1p
chr1_14972024	0.515881316	chr1p
chr1_15108757	0.481368715	chr1p
chr1_15245060	0.472732372	chr1p
chr1_15384126	0.500550431	chr1p
chr1_15530376	0.444173183	chr1p
chr1_15679883	0.519650796	chr1p
chr1_15835093	0.456929361	chr1p
chr1_15978555	0.547338716	chr1p
chr1_16128802	0.529865335	chr1p
chr1_16266403	0.465539463	chr1p
chr1_16423133	0.47259504	chr1p
chr1_16990281	0.49806214	chr1p
chr1_17130384	0.498867818	chr1p
chr1_17264638	0.499631718	chr1p
chr1_17405833	0.502607637	chr1p
chr1_17561914	0.547900605	chr1p
chr1_17692142	0.496729176	chr1p
chr1_17825136	0.48933928	chr1p
chr1_17956085	0.483193471	chr1p
chr1_18085975	0.500447518	chr1p
chr1_18216696	0.496027038	chr1p
chr1_18344812	0.480848561	chr1p
chr1_18475716	0.47897429	chr1p
chr1_18609243	0.517218091	chr1p
chr1_18741023	0.497944329	chr1p
chr1_18872367	0.514263604	chr1p
chr1_19004171	0.483839329	chr1p
chr1_19136715	0.449431509	chr1p
chr1_19274360	0.508846416	chr1p
chr1_19412382	0.46339462	chr1p
chr1_19556186	0.483720347	chr1p
chr1_19699679	0.475190241	chr1p
chr1_19840027	0.445124363	chr1p
chr1_19979096	0.441877648	chr1p
chr1_20126621	0.47687329	chr1p
chr1_20260730	0.499512442	chr1p
chr1_20390971	0.485522923	chr1p
chr1_20525943	0.486899352	chr1p
chr1_20670287	0.476048958	chr1p
chr1_20812285	0.390131993	chr1p
chr1_20953732	0.390109347	chr1p
chr1_21095300	0.441667227	chr1p
chr1_21243930	0.508748442	chr1p
chr1_21385098	0.475923331	chr1p
chr1_21563528	0.53807042	chr1p
chr1_21697070	0.460436756	chr1p
chr1_21845162	0.534609989	chr1p
chr1_22004119	0.477550124	chr1p
chr1_22154298	0.518435038	chr1p
chr1_22286953	0.482799721	chr1p
chr1_22420352	0.443890499	chr1p
chr1_22553538	0.534947581	chr1p
chr1_22683547	0.514176292	chr1p
chr1_22815669	0.50275532	chr1p
chr1_22950862	0.432531841	chr1p
chr1_23093055	0.449419534	chr1p
chr1_23236905	0.428596044	chr1p
chr1_23381995	0.493806462	chr1p
chr1_23526340	0.49032236	chr1p
chr1_23672452	0.477299445	chr1p
chr1_23824717	0.458410686	chr1p
chr1_24078424	0.498235626	chr1p
chr1_24214733	0.473666664	chr1p
chr1_24352714	0.447640881	chr1p
chr1_24487065	0.451680179	chr1p
chr1_24631870	0.452077728	chr1p
chr1_24782395	0.461663093	chr1p
chr1_24925586	0.529863856	chr1p
chr1_25053098	0.474480586	chr1p
chr1_25192149	0.461421496	chr1p
chr1_25424960	0.460234919	chr1p
chr1_25566881	0.479037658	chr1p
chr1_25706083	0.511606889	chr1p
chr1_25839969	0.469063215	chr1p
chr1_25984538	0.486001583	chr1p
chr1_26126054	0.483384097	chr1p
chr1_26273142	0.51245381	chr1p
chr1_26417114	0.485587481	chr1p
chr1_26568753	0.45679263	chr1p
chr1_26726365	0.488222655	chr1p
chr1_26874361	0.496769591	chr1p
chr1_27025735	0.506341942	chr1p
chr1_27176714	0.461810763	chr1p
chr1_27334062	0.498885802	chr1p
chr1_27479438	0.536282451	chr1p
chr1_27616722	0.467252824	chr1p
chr1_27766170	0.456753616	chr1p
chr1_27919362	0.432471234	chr1p
chr1_28062849	0.449317267	chr1p
chr1_28213640	0.462315506	chr1p
chr1_28374011	0.439010232	chr1p
chr1_28530774	0.476145323	chr1p
chr1_28701621	0.46826718	chr1p
chr1_28855405	0.446987142	chr1p
chr1_29002624	0.435366521	chr1p
chr1_29152438	0.484424266	chr1p
chr1_29292303	0.486668983	chr1p
chr1_29564915	0.468152891	chr1p
chr1_29696120	0.478250406	chr1p
chr1_29829088	0.479767359	chr1p
chr1_29958730	0.475557579	chr1p
chr1_30090550	0.473813966	chr1p
chr1_30225622	0.475808425	chr1p
chr1_30356370	0.483342008	chr1p
chr1_30504317	0.457941573	chr1p
chr1_30639391	0.522839072	chr1p
chr1_30768884	0.516956224	chr1p
chr1_30903112	0.422608784	chr1p
chr1_31041138	0.473717434	chr1p
chr1_31204307	0.445688565	chr1p
chr1_31348273	0.467506212	chr1p
chr1_31490731	0.472964216	chr1p
chr1_31638402	0.553067408	chr1p
chr1_31765806	0.472433689	chr1p
chr1_31906884	0.444176414	chr1p
chr1_32057779	0.471222638	chr1p
chr1_32207897	0.502878199	chr1p
chr1_32358512	0.462738437	chr1p
chr1_32512169	0.441893275	chr1p
chr1_32672357	0.494101291	chr1p
chr1_32826289	0.471396996	chr1p
chr1_32967900	0.468374204	chr1p
chr1_33116418	0.465183676	chr1p
chr1_33255821	0.499505286	chr1p
chr1_33390242	0.436301272	chr1p
chr1_33523770	0.448351058	chr1p
chr1_33654005	0.444146506	chr1p
chr1_33788633	0.451954765	chr1p
chr1_33923662	0.460062647	chr1p
chr1_34051362	0.456391162	chr1p
chr1_34190210	0.428809098	chr1p
chr1_34325452	0.44098774	chr1p
chr1_34452773	0.424354297	chr1p
chr1_34591188	0.452003895	chr1p
chr1_34724678	0.482027111	chr1p
chr1_34856432	0.456464304	chr1p
chr1_34995720	0.418995138	chr1p
chr1_35157593	0.421943055	chr1p
chr1_35306369	0.395407205	chr1p
chr1_35447416	0.435474116	chr1p
chr1_35586306	0.454936533	chr1p
chr1_35727640	0.427098832	chr1p
chr1_35876842	0.407821709	chr1p
chr1_36016658	0.478411797	chr1p
chr1_36160695	0.468203611	chr1p
chr1_36315461	0.498787355	chr1p
chr1_36457712	0.491609951	chr1p
chr1_36594064	0.48049297	chr1p
chr1_36725350	0.497679662	chr1p
chr1_36854857	0.486132001	chr1p
chr1_36983174	0.499791651	chr1p
chr1_37112764	0.434325693	chr1p
chr1_37248266	0.479023775	chr1p
chr1_37384587	0.48575314	chr1p
chr1_37525039	0.472825428	chr1p
chr1_37665191	0.486699564	chr1p
